column_index,column_name,category,type,filled_by,validation,example,notes
1,family,identification,enum,auto_from_tab,"polyester|polyamide|viscose|modal|blend",polyester,Tab name determines value
2,subfamily,identification,enum_family_specific,claude,"see family-specific enum table",FDY,Different allowed values per family
3,raw_label_examples,identification,text_newline_separated,claude,"min 1 example, max ~10","%100 POLYESTER 75D/72F SD\nPES 75/72 FDY ECRU",Real-world label variants observed in sources
4,canonical_code,identification,text,claude,"regex ^[A-Z0-9_]+$, max 60 char, family prefix required, unique per sheet",PES_75D_72F_SD,Primary identification key
5,display_name,identification,text,claude,"human-readable, max 40 char",PES 75D/72F SD,Used in UI rendering
6,form,spec_attributes,enum,claude,"filament|spun|blend",filament,Yarn form classification
7,count_type,spec_attributes,enum,claude,"denier|Ne",denier,Determines which count column is required
8,denier,spec_attributes,int_nullable,claude,"range 10-4000; NOT NULL if count_type=denier",75,Filament-only field
9,filament_count,spec_attributes,int_nullable,claude,"range 1-500; NOT NULL if count_type=denier",72,Filament-only field
10,denier_class,spec_attributes,enum_nullable,sheets_formula,"derived: <=30 micro / 31-80 fine / 81-150 medium / >150 heavy",fine,Formula-derived from denier
11,ne_count,spec_attributes,decimal_nullable,claude,"range 5-80; NOT NULL if count_type=Ne",30.0,Spun/staple-only field
12,ply,spec_attributes,int,claude,"range 1-4, default 1",1,Yarn ply count
13,twist_direction,spec_attributes,enum_nullable,claude,"Z|S|NULL",Z,NULL when unspecified in source
14,luster,spec_attributes,enum_nullable,claude,"SD|FD|BR|CD|HT|FR|NULL",SD,Filament-weighted but applies broadly
15,recycle_flag,spec_attributes,bool,claude,"default false",false,GRS/recycle marker
16,color_state,spec_attributes,enum,claude,"ECRU|BLACK|NAVY|RED|ANTHRACITE|OTHER|NULL",ECRU,Yarn-dyed/dope-dyed color category
